kernel_id,run_id,title,author,script_url,auc_reported,detected_models,detected_hpo,detected_xai
1216937,4389548.0,LendingClub-Analysis and Predictions,husainsb,https://www.kaggle.com/code/husainsb/lendingclub-analysis-and-predictions,0.7336,"['logistic_regression', 'random_forest', 'xgboost']",[],[]
95591645,275799147.0,🔍 Credit Risk Explainability: SHAP,karnikakapoor,https://www.kaggle.com/code/karnikakapoor/credit-risk-explainability-shap,,"['catboost', 'random_forest', 'xgboost']",[],"['feature_importance', 'shap']"
67214645,205467167.0,Lending Club - Du Modèle à l'Explicabilité,thomsouv,https://www.kaggle.com/code/thomsouv/lending-club-du-mod-le-l-explicabilit,,"['neural_network', 'random_forest', 'xgboost']",['random_search'],"['pdp_ice', 'permutation_importance', 'shap']"
47719450,155126152.0,Lending Club | Loan Default Prediction | EDA ,emmaruyiyang,https://www.kaggle.com/code/emmaruyiyang/lending-club-loan-default-prediction-eda,,"['lightgbm', 'logistic_regression', 'neural_network', 'random_forest', 'xgboost']",['bayesian'],[]
40378684,135478273.0, XGBoost Loan Defaulters 💰Prediction,krishnaraj30,https://www.kaggle.com/code/krishnaraj30/xgboost-loan-defaulters-prediction,,"['neural_network', 'random_forest', 'xgboost']",['random_search'],[]
26033202,129168513.0,Loan Defaulters Prediction|EDA| Lending Club Study,abhishek14398,https://www.kaggle.com/code/abhishek14398/loan-defaulters-prediction-eda-lending-club-study,,[],[],[]
13213589,117833025.0,🏦 Lending Club Loan 💰 Defaulters 🏃‍♂ Prediction,faressayah,https://www.kaggle.com/code/faressayah/lending-club-loan-defaulters-prediction,,"['neural_network', 'random_forest', 'xgboost']",['random_search'],[]
16847827,104658792.0,Complete Data Science Fintech Project: Part I,mariiagusarova,https://www.kaggle.com/code/mariiagusarova/complete-data-science-fintech-project-part-i,,['logistic_regression'],['random_search'],[]
26316465,94830632.0,"Credit Risk Part-1: Binning, WoE, IV, PD Model",chandrimad31,https://www.kaggle.com/code/chandrimad31/credit-risk-part-1-binning-woe-iv-pd-model,,['logistic_regression'],[],[]
26153226,94594824.0,LendingClub - EDA - XGBoost & SHAP in super detail,mingtr,https://www.kaggle.com/code/mingtr/lendingclub-eda-xgboost-shap-in-super-detail,,"['logistic_regression', 'xgboost']","['grid_search', 'manual_tuning', 'random_search']","['feature_importance', 'permutation_importance', 'shap']"
25227586,89837498.0,Lending Club Loan Data Statistical Analysis,kwasiransom,https://www.kaggle.com/code/kwasiransom/lending-club-loan-data-statistical-analysis,,[],[],[]
24641649,88404388.0,Deep Convolutional GANs Simplified,aayush7kumar,https://www.kaggle.com/code/aayush7kumar/deep-convolutional-gans-simplified,,['neural_network'],[],[]
24257556,88397232.0,"Clustering using K-Means, Hierarchical and DBSCAN",aayush7kumar,https://www.kaggle.com/code/aayush7kumar/clustering-using-k-means-hierarchical-and-dbscan,,[],[],[]
20479283,86567936.0,LendingClub Loan Default Prediction,chinmaybgaikwad,https://www.kaggle.com/code/chinmaybgaikwad/lendingclub-loan-default-prediction,,[],[],[]
21487704,78056764.0,Lending Club 贷款数据,jiangjim,https://www.kaggle.com/code/jiangjim/lending-club,,['neural_network'],[],[]
19099314,75152298.0,Loan 💰💰Defaulters Prediction,ritesh7355,https://www.kaggle.com/code/ritesh7355/loan-defaulters-prediction,,"['neural_network', 'random_forest', 'xgboost']","['manual_tuning', 'random_search']",[]
17214750,63937320.0,Loss Prediction for Lending Club data,shalkumari30,https://www.kaggle.com/code/shalkumari30/loss-prediction-for-lending-club-data,,['logistic_regression'],[],[]
14989150,56817376.0,Lending Club credit model,owendavidprice,https://www.kaggle.com/code/owendavidprice/lending-club-credit-model,,"['catboost', 'logistic_regression', 'neural_network', 'random_forest']",['grid_search'],['shap']
12012088,54497335.0,Minimizing Risks for Loan Investments Keras - ANN,tomasmantero,https://www.kaggle.com/code/tomasmantero/minimizing-risks-for-loan-investments-keras-ann,,['neural_network'],[],[]
14480597,53038344.0,Lending Club Data visualization,jujubis,https://www.kaggle.com/code/jujubis/lending-club-data-visualization,,[],[],[]
692386,49929896.0,German Credit Analysis || A Risk Perspective,janiobachmann,https://www.kaggle.com/code/janiobachmann/german-credit-analysis-a-risk-perspective,,[],['grid_search'],[]
13536999,49678166.0,Efficient grading for Lending Club with CatBoost,karthur10,https://www.kaggle.com/code/karthur10/efficient-grading-for-lending-club-with-catboost,,"['catboost', 'logistic_regression']",[],[]
13122856,49129745.0,Loan Repayment Prediction,ztrimus,https://www.kaggle.com/code/ztrimus/loan-repayment-prediction,,"['logistic_regression', 'neural_network', 'random_forest']",['grid_search'],[]
10707878,44727827.0,Building a Neural Network to Predict Loan Risk,tywmick,https://www.kaggle.com/code/tywmick/building-a-neural-network-to-predict-loan-risk,,['neural_network'],[],[]
11021322,40090418.0,Lending Club Case Study-1,vinaypratap,https://www.kaggle.com/code/vinaypratap/lending-club-case-study-1,,[],[],[]
536885,38656976.0,Lending Club Loans Analysis,lorenzopagliaro01,https://www.kaggle.com/code/lorenzopagliaro01/lending-club-loans-analysis,,['logistic_regression'],[],[]
7742262,27817104.0,Lending Club Minimizing risks for loan investments,danofer,https://www.kaggle.com/code/danofer/lending-club-minimizing-risks-for-loan-investments,,['catboost'],[],[]
5756659,20406849.0,Starter: All Lending Club loan data 23612c11-7,rickrickygoorrr,https://www.kaggle.com/code/rickrickygoorrr/starter-all-lending-club-loan-data-23612c11-7,,[],[],[]
592115,20137631.0,Lending Club - Insightful Financial EDA,kabure,https://www.kaggle.com/code/kabure/lending-club-insightful-financial-eda,,[],[],[]
4987241,18745496.0,💲 Minimizing risks for loan investments,pavlofesenko,https://www.kaggle.com/code/pavlofesenko/minimizing-risks-for-loan-investments,,['catboost'],[],[]
2513571,9015678.0,Prediction of LendingClub loan defaulters,deepanshu08,https://www.kaggle.com/code/deepanshu08/prediction-of-lendingclub-loan-defaulters,,"['logistic_regression', 'random_forest']",['grid_search'],[]
2211085,7806644.0,Lending Club EDA - An Intuitive Approach,mhlee2907,https://www.kaggle.com/code/mhlee2907/lending-club-eda-an-intuitive-approach,,['random_forest'],[],['feature_importance']
614252,5235439.0,Lending Club || Risk Analysis and Metrics,janiobachmann,https://www.kaggle.com/code/janiobachmann/lending-club-risk-analysis-and-metrics,,"['logistic_regression', 'neural_network']",[],[]
1452519,5167439.0,A Hitchhiker's Guide to Lending Club Loan Data,pragyanbo,https://www.kaggle.com/code/pragyanbo/a-hitchhiker-s-guide-to-lending-club-loan-data,,"['lightgbm', 'logistic_regression', 'random_forest']",['bayesian'],[]
1407525,4967114.0,Loan Predictive Analysis,mrferozi,https://www.kaggle.com/code/mrferozi/loan-predictive-analysis,,"['logistic_regression', 'neural_network', 'random_forest']",[],['feature_importance']
677178,4833741.0,Exploration of Lending Club Data,jonchan2003,https://www.kaggle.com/code/jonchan2003/exploration-of-lending-club-data,,[],[],[]
603369,4084926.0,Predicting Charge-off from Initial Listing Data,pileatedperch,https://www.kaggle.com/code/pileatedperch/predicting-charge-off-from-initial-listing-data,,"['logistic_regression', 'random_forest']",['grid_search'],[]
562739,3769770.0,Lending Club-CHECK before you CHEQUE,farazrahman,https://www.kaggle.com/code/farazrahman/lending-club-check-before-you-cheque,,[],[],[]
888854,3370666.0,Lending Club Data Exploration and Modeling,namk134874,https://www.kaggle.com/code/namk134874/lending-club-data-exploration-and-modeling,,"['logistic_regression', 'random_forest', 'xgboost']",[],[]
729700,2789901.0,Lending Club loan classification,przemekblo,https://www.kaggle.com/code/przemekblo/lending-club-loan-classification,,"['logistic_regression', 'random_forest']",[],[]
725337,2773845.0,Analysis and Modelling of Lending Club loan data,adityasheth,https://www.kaggle.com/code/adityasheth/analysis-and-modelling-of-lending-club-loan-data,,"['logistic_regression', 'random_forest', 'xgboost']",[],[]
442303,2173563.0,Loans -getting Insights,devisangeetha,https://www.kaggle.com/code/devisangeetha/loans-getting-insights,,[],[],[]
501665,1986206.0,P2P - Lending Club Data Analysis,jw3570,https://www.kaggle.com/code/jw3570/p2p-lending-club-data-analysis,,"['logistic_regression', 'random_forest']",[],[]
479178,1896470.0,Analyze Lending Loan Club,jkjay333,https://www.kaggle.com/code/jkjay333/analyze-lending-loan-club,,['random_forest'],[],[]
430340,1774376.0, Lending Club Loan Data - Analysis,imrandude,https://www.kaggle.com/code/imrandude/lending-club-loan-data-analysis,,[],[],[]
432601,1738597.0,Lending Club Loan Data Analysis,chandrakurada,https://www.kaggle.com/code/chandrakurada/lending-club-loan-data-analysis,,[],[],[]
343803,1447856.0,"Predicting customers who will ""charge-off""",vincepota,https://www.kaggle.com/code/vincepota/predicting-customers-who-will-charge-off,,"['logistic_regression', 'random_forest']",[],[]
60043,308953.0,Initial loan book analysis,erykwalczak,https://www.kaggle.com/code/erykwalczak/initial-loan-book-analysis,,[],[],[]
13059258,,lending-club-loan-data,verlockender,https://www.kaggle.com/code/verlockender/lending-club-loan-data,,[],[],[]
